Provincias	Tamaño de los municipios	Periodo	Total
02 Albacete	Menos de 101	2006	1
02 Albacete	Menos de 101	2005	1
02 Albacete	Menos de 101	2004	1
02 Albacete	Menos de 101	2003	1
02 Albacete	Menos de 101	2002	1
02 Albacete	Menos de 101	2001	1
02 Albacete	Menos de 101	2000	1
02 Albacete	Menos de 101	1999	1
02 Albacete	Menos de 101	1998	1
02 Albacete	Menos de 101	1997	""
02 Albacete	Menos de 101	1996	1
02 Albacete	De 101 a 500	2021	24
02 Albacete	De 101 a 500	2020	23
02 Albacete	De 101 a 500	2019	23
02 Albacete	De 101 a 500	2018	21
02 Albacete	De 101 a 500	2017	22
02 Albacete	De 101 a 500	2016	22
02 Albacete	De 101 a 500	2015	22
02 Albacete	De 101 a 500	2014	22
02 Albacete	De 101 a 500	2013	21
02 Albacete	De 101 a 500	2012	21
02 Albacete	De 101 a 500	2011	21
02 Albacete	De 101 a 500	2010	20
02 Albacete	De 101 a 500	2009	20
02 Albacete	De 101 a 500	2008	20
02 Albacete	De 101 a 500	2007	20
02 Albacete	De 101 a 500	2006	20
02 Albacete	De 101 a 500	2005	18
02 Albacete	De 101 a 500	2004	18
02 Albacete	De 101 a 500	2003	17
02 Albacete	De 101 a 500	2002	16
02 Albacete	De 101 a 500	2001	16
02 Albacete	De 101 a 500	2000	14
02 Albacete	De 101 a 500	1999	14
02 Albacete	De 101 a 500	1998	15
02 Albacete	De 101 a 500	1997	""
02 Albacete	De 101 a 500	1996	15
02 Albacete	De 501 a 1.000	2021	16
02 Albacete	De 501 a 1.000	2020	17
02 Albacete	De 501 a 1.000	2019	18
02 Albacete	De 501 a 1.000	2018	19
02 Albacete	De 501 a 1.000	2017	20
02 Albacete	De 501 a 1.000	2016	20
02 Albacete	De 501 a 1.000	2015	20
02 Albacete	De 501 a 1.000	2014	19
02 Albacete	De 501 a 1.000	2013	20
02 Albacete	De 501 a 1.000	2012	19
02 Albacete	De 501 a 1.000	2011	18
02 Albacete	De 501 a 1.000	2010	18
02 Albacete	De 501 a 1.000	2009	18
02 Albacete	De 501 a 1.000	2008	18
02 Albacete	De 501 a 1.000	2007	19
02 Albacete	De 501 a 1.000	2006	19
02 Albacete	De 501 a 1.000	2005	21
02 Albacete	De 501 a 1.000	2004	21
02 Albacete	De 501 a 1.000	2003	22
02 Albacete	De 501 a 1.000	2002	23
02 Albacete	De 501 a 1.000	2001	23
02 Albacete	De 501 a 1.000	2000	25
02 Albacete	De 501 a 1.000	1999	24
02 Albacete	De 501 a 1.000	1998	22
02 Albacete	De 501 a 1.000	1997	""
02 Albacete	De 501 a 1.000	1996	22
02 Albacete	De 1.001 a 2.000	2021	21
02 Albacete	De 1.001 a 2.000	2020	21
02 Albacete	De 1.001 a 2.000	2019	20
02 Albacete	De 1.001 a 2.000	2018	20
02 Albacete	De 1.001 a 2.000	2017	20
02 Albacete	De 1.001 a 2.000	2016	20
02 Albacete	De 1.001 a 2.000	2015	20
02 Albacete	De 1.001 a 2.000	2014	21
02 Albacete	De 1.001 a 2.000	2013	21
02 Albacete	De 1.001 a 2.000	2012	20
02 Albacete	De 1.001 a 2.000	2011	21
02 Albacete	De 1.001 a 2.000	2010	20
02 Albacete	De 1.001 a 2.000	2009	20
02 Albacete	De 1.001 a 2.000	2008	21
02 Albacete	De 1.001 a 2.000	2007	22
02 Albacete	De 1.001 a 2.000	2006	23
02 Albacete	De 1.001 a 2.000	2005	23
02 Albacete	De 1.001 a 2.000	2004	23
02 Albacete	De 1.001 a 2.000	2003	23
02 Albacete	De 1.001 a 2.000	2002	23
02 Albacete	De 1.001 a 2.000	2001	22
02 Albacete	De 1.001 a 2.000	2000	22
02 Albacete	De 1.001 a 2.000	1999	23
02 Albacete	De 1.001 a 2.000	1998	24
02 Albacete	De 1.001 a 2.000	1997	""
02 Albacete	De 1.001 a 2.000	1996	23
02 Albacete	De 2.001 a 3.000	2021	9
02 Albacete	De 2.001 a 3.000	2020	9
02 Albacete	De 2.001 a 3.000	2019	10
02 Albacete	De 2.001 a 3.000	2018	10
02 Albacete	De 2.001 a 3.000	2017	10
02 Albacete	De 2.001 a 3.000	2016	10
02 Albacete	De 2.001 a 3.000	2015	10
02 Albacete	De 2.001 a 3.000	2014	10
02 Albacete	De 2.001 a 3.000	2013	9
02 Albacete	De 2.001 a 3.000	2012	10
02 Albacete	De 2.001 a 3.000	2011	10
02 Albacete	De 2.001 a 3.000	2010	11
02 Albacete	De 2.001 a 3.000	2009	11
02 Albacete	De 2.001 a 3.000	2008	10
02 Albacete	De 2.001 a 3.000	2007	9
02 Albacete	De 2.001 a 3.000	2006	8
02 Albacete	De 2.001 a 3.000	2005	8
02 Albacete	De 2.001 a 3.000	2004	8
02 Albacete	De 2.001 a 3.000	2003	8
02 Albacete	De 2.001 a 3.000	2002	8
02 Albacete	De 2.001 a 3.000	2001	9
02 Albacete	De 2.001 a 3.000	2000	8
02 Albacete	De 2.001 a 3.000	1999	8
02 Albacete	De 2.001 a 3.000	1998	8
02 Albacete	De 2.001 a 3.000	1997	""
02 Albacete	De 2.001 a 3.000	1996	9
02 Albacete	De 3.001 a 5.000	2021	6
02 Albacete	De 3.001 a 5.000	2020	6
02 Albacete	De 3.001 a 5.000	2019	6
02 Albacete	De 3.001 a 5.000	2018	6
02 Albacete	De 3.001 a 5.000	2017	6
02 Albacete	De 3.001 a 5.000	2016	6
02 Albacete	De 3.001 a 5.000	2015	6
02 Albacete	De 3.001 a 5.000	2014	6
02 Albacete	De 3.001 a 5.000	2013	7
02 Albacete	De 3.001 a 5.000	2012	8
02 Albacete	De 3.001 a 5.000	2011	8
02 Albacete	De 3.001 a 5.000	2010	8
02 Albacete	De 3.001 a 5.000	2009	8
02 Albacete	De 3.001 a 5.000	2008	8
02 Albacete	De 3.001 a 5.000	2007	8
02 Albacete	De 3.001 a 5.000	2006	8
02 Albacete	De 3.001 a 5.000	2005	8
02 Albacete	De 3.001 a 5.000	2004	8
02 Albacete	De 3.001 a 5.000	2003	8
02 Albacete	De 3.001 a 5.000	2002	8
02 Albacete	De 3.001 a 5.000	2001	8
02 Albacete	De 3.001 a 5.000	2000	8
02 Albacete	De 3.001 a 5.000	1999	8
02 Albacete	De 3.001 a 5.000	1998	8
02 Albacete	De 3.001 a 5.000	1997	""
02 Albacete	De 3.001 a 5.000	1996	7
02 Albacete	De 5.001 a 10.000	2021	2
02 Albacete	De 5.001 a 10.000	2020	2
02 Albacete	De 5.001 a 10.000	2019	3
02 Albacete	De 5.001 a 10.000	2018	2
02 Albacete	De 5.001 a 10.000	2017	2
02 Albacete	De 5.001 a 10.000	2016	2
02 Albacete	De 5.001 a 10.000	2015	2
02 Albacete	De 5.001 a 10.000	2014	2
02 Albacete	De 5.001 a 10.000	2013	2
02 Albacete	De 5.001 a 10.000	2012	2
02 Albacete	De 5.001 a 10.000	2011	2
02 Albacete	De 5.001 a 10.000	2010	2
02 Albacete	De 5.001 a 10.000	2009	2
02 Albacete	De 5.001 a 10.000	2008	2
02 Albacete	De 5.001 a 10.000	2007	2
02 Albacete	De 5.001 a 10.000	2006	3
02 Albacete	De 5.001 a 10.000	2005	3
02 Albacete	De 5.001 a 10.000	2004	3
02 Albacete	De 5.001 a 10.000	2003	3
02 Albacete	De 5.001 a 10.000	2002	3
02 Albacete	De 5.001 a 10.000	2001	3
02 Albacete	De 5.001 a 10.000	2000	3
02 Albacete	De 5.001 a 10.000	1999	3
02 Albacete	De 5.001 a 10.000	1998	3
